label,confidence,xmin,ymin,xmax,ymax
0,0.24229766428470612,642,25,661,43
0,0.24201534688472748,674,36,690,54
0,0.24188125133514404,35,62,53,80
0,0.2416960597038269,641,77,658,96
0,0.24123165011405945,650,51,669,71
0,0.24117422103881836,475,110,493,128
0,0.2410241663455963,309,26,328,44
0,0.24093490839004517,543,46,560,63
0,0.24074147641658783,474,101,492,119
0,0.24070680141448975,528,2,545,17
0,0.23902627825737,493,120,511,138
0,0.23831264674663544,644,175,662,193
0,0.237613245844841,41,40,59,58
0,0.23748792707920074,234,67,252,85
0,0.2372315526008606,654,177,671,195
0,0.2369903177022934,405,193,424,213
0,0.23694729804992676,342,19,361,38
0,0.23635970056056976,236,196,254,214
0,0.23548130691051483,658,52,678,72
0,0.23534390330314636,560,68,579,88
0,0.23518548905849457,162,168,180,187
0,0.234890878200531,362,4,380,21
0,0.23470620810985565,558,126,575,144
0,0.23447805643081665,244,68,262,86
0,0.23427830636501312,473,94,492,112
0,0.23391389846801758,665,91,684,110
0,0.2337871789932251,302,26,321,45
0,0.2337055504322052,543,54,561,70
0,0.23358383774757385,4,86,22,105
0,0.23356296122074127,582,151,602,172
0,0.23256608843803406,45,46,63,64
0,0.23239855468273163,645,62,664,80
0,0.2317986935377121,425,93,443,112
0,0.23170556128025055,37,12,55,30
0,0.23151618242263794,59,161,79,180
0,0.23136720061302185,261,12,279,30
0,0.231170654296875,511,55,530,73
0,0.2307012975215912,633,38,652,56
0,0.2301243245601654,668,96,685,114
0,0.23000533878803253,152,178,170,196
0,0.22992397844791412,417,92,436,111
0,0.22972525656223297,421,283,439,301
0,0.22949270904064178,667,152,685,171
0,0.22946743667125702,39,59,56,75
0,0.22914715111255646,318,38,337,56
0,0.22910693287849426,676,89,690,107
0,0.22885872423648834,335,27,354,45
0,0.22860655188560486,425,102,443,121
0,0.22808627784252167,675,52,690,71
0,0.22780191898345947,649,44,668,64
0,0.22756722569465637,665,45,685,63
0,0.22746078670024872,640,87,658,105
0,0.2270331233739853,476,121,494,139
0,0.2258373349905014,226,66,243,83
0,0.22554044425487518,598,321,618,334
0,0.2255142480134964,325,37,344,55
0,0.22519627213478088,293,27,311,45
0,0.2247321903705597,555,72,574,91
0,0.2242557406425476,529,153,547,171
0,0.22412680089473724,642,39,661,57
0,0.22401951253414154,648,38,667,57
0,0.22395402193069458,658,45,677,64
0,0.22369293868541718,436,94,455,112
0,0.22300709784030914,667,136,684,153
0,0.2227533608675003,3,95,21,114
0,0.22269617021083832,321,141,341,162
0,0.22259095311164856,253,61,270,78
0,0.22255070507526398,666,105,684,122
0,0.22252096235752106,484,126,502,144
0,0.22231663763523102,0,7,15,25
0,0.22228996455669403,410,92,429,111
0,0.22214581072330475,151,193,170,212
0,0.2221299707889557,616,253,634,270
0,0.2219693958759308,417,103,435,122
0,0.2218516767024994,437,102,455,120
0,0.22168263792991638,252,12,270,29
0,0.2212827503681183,310,285,328,303
0,0.22104404866695404,309,38,328,56
0,0.22094005346298218,241,313,258,329
0,0.22093790769577026,407,289,426,308
0,0.22082564234733582,161,193,179,211
0,0.2207956612110138,425,111,443,129
0,0.2203051745891571,276,19,295,37
0,0.21982517838478088,674,44,690,63
0,0.21964450180530548,234,54,251,71
0,0.2194124311208725,642,51,660,70
0,0.21904319524765015,177,4,195,21
0,0.21870656311511993,499,110,517,128
0,0.21788187325000763,169,4,187,21
0,0.2172490358352661,24,205,42,225
0,0.21711868047714233,362,12,380,30
0,0.2170177400112152,632,109,650,127
0,0.21690823137760162,45,168,64,187
0,0.21675102412700653,625,126,644,145
0,0.21642762422561646,436,111,455,129
0,0.21624310314655304,235,4,253,21
0,0.21574585139751434,9,86,28,104
0,0.21573907136917114,351,19,369,38
0,0.21565841138362885,303,277,320,294
0,0.21555495262145996,419,74,437,91
0,0.21517938375473022,302,285,320,303
0,0.21480000019073486,286,29,304,46
0,0.21476705372333527,252,68,270,86
0,0.21467962861061096,577,43,595,63
0,0.214669868350029,229,21,248,39
0,0.21464616060256958,667,127,685,144
0,0.21450473368167877,235,79,253,97
0,0.21445155143737793,309,277,327,294
0,0.2142745852470398,485,87,503,105
0,0.2141987532377243,118,44,137,63
0,0.21412082016468048,0,43,16,62
0,0.21348334848880768,67,78,85,97
0,0.21329496800899506,473,87,492,105
0,0.21300961077213287,357,30,376,49
0,0.21296119689941406,417,87,436,105
0,0.21292728185653687,616,119,636,139
0,0.21259452402591705,47,52,65,70
0,0.21212270855903625,392,84,411,104
0,0.2114335149526596,401,93,420,111
0,0.21130923926830292,590,150,611,171
0,0.21069136261940002,135,68,155,87
0,0.21068906784057617,26,232,44,251
0,0.21021120250225067,69,159,89,179
0,0.21012543141841888,410,86,428,105
0,0.21000570058822632,493,126,511,144
0,0.20932699739933014,607,150,627,171
